success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,138,0.0-0.0,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,1373,0.0-1.0,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,"[{""page_index"":0,""viewing_time"":1233}]",1233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,8513,0.0-2.0,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,6136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,42042,0.0-3.0,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,"[{""page_index"":0,""viewing_time"":1170},{""page_index"":1,""viewing_time"":1518},{""page_index"":2,""viewing_time"":2051},{""page_index"":3,""viewing_time"":1042},{""page_index"":4,""viewing_time"":728},{""page_index"":5,""viewing_time"":25661},{""page_index"":6,""viewing_time"":1357}]",33527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,42346,0.0-4.0-0.0,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,null,<p></p>,null,choice,tc,binary,attraction,NA,microwave ovens,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,48819,0.0-4.0-1.0,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,6467,NA,"{""product_choice"":""A""}",choice,tc,binary,attraction,NA,microwave ovens,null,null,null,null,null,null,2,60,50,null,50,60,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,49123,0.0-4.0-0.1,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,null,<p></p>,null,choice,tc,binary,attraction,NA,televisions,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,52130,0.0-4.0-1.1,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,3005,NA,"{""product_choice"":""B""}",choice,tc,binary,attraction,NA,televisions,null,null,null,null,null,null,1,60,50,null,50,60,null,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,52435,0.0-4.0-0.2,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,null,<p></p>,null,choice,wbw,trinary,catch,null,laptops,80,60,50,5,15,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,58656,0.0-4.0-1.2,65,1,2025-04-28T20:25:45Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=48580,"en-US,en;q=0.9",kv6yrs9zgz27tod,20,"[""Other""]",No,Female,"iraq 8 years
",Yes,541186.1999999993,NA,6217,NA,"{""product_choice"":""B""}",choice,wbw,trinary,catch,null,laptops,80,60,50,5,15,50,2,null,null,null,null,null,null,Processing speed,Memory (RAM),NA,NA
