success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,52,1006720,0.0-4.0-0.24,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,cdt,trinary,repulsion_A,1,washing machines,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,53,1007959,0.0-4.0-1.24,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1234,NA,"{""product_choice"":""B""}",choice,cdt,trinary,repulsion_A,1,washing machines,null,null,null,null,null,null,2,100,90,100,30,40,20,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,54,1008263,0.0-4.0-0.25,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,tdc,trinary,repulsion_A,2,microwave ovens,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,55,1009892,0.0-4.0-1.25,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1623,NA,"{""product_choice"":""C""}",choice,tdc,trinary,repulsion_A,2,microwave ovens,null,null,null,null,null,null,1,30,40,20,100,90,100,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,56,1010197,0.0-4.0-0.26,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,wwb,trinary,catch,null,televisions,65,65,35,15,20,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,57,1011938,0.0-4.0-1.26,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1730,NA,"{""product_choice"":""A""}",choice,wwb,trinary,catch,null,televisions,65,65,35,15,20,50,2,null,null,null,null,null,null,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,58,1012243,0.0-4.0-0.27,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,dtc,trinary,repulsion_B,2,microwave ovens,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,59,1015229,0.0-4.0-1.27,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,2982,NA,"{""product_choice"":""C""}",choice,dtc,trinary,repulsion_B,2,microwave ovens,null,null,null,null,null,null,2,40,30,40,90,100,80,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,60,1015535,0.0-4.0-0.28,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,cdt,trinary,repulsion_B,2,televisions,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,61,1017257,0.0-4.0-1.28,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1716,NA,"{""product_choice"":""B""}",choice,cdt,trinary,repulsion_B,2,televisions,null,null,null,null,null,null,1,40,30,40,90,100,80,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,62,1017562,0.0-4.0-0.29,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,dtc,trinary,repulsion_B,1,microwave ovens,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,63,1022282,0.0-4.0-1.29,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,4714,NA,"{""product_choice"":""A""}",choice,dtc,trinary,repulsion_B,1,microwave ovens,null,null,null,null,null,null,2,90,100,80,40,30,40,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,64,1022586,0.0-4.0-0.30,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,bw,binary,catch,null,microwave ovens,85,85,45,15,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,65,1024893,0.0-4.0-1.30,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,2301,NA,"{""product_choice"":""A""}",choice,bw,binary,catch,null,microwave ovens,85,85,45,15,null,null,2,null,null,null,null,null,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,66,1025199,0.0-4.0-0.31,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,ctd,trinary,repulsion_B,2,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,67,1027249,0.0-4.0-1.31,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,2045,NA,"{""product_choice"":""C""}",choice,ctd,trinary,repulsion_B,2,washing machines,null,null,null,null,null,null,1,40,30,40,90,100,80,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,68,1027555,0.0-4.0-0.32,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,ct,binary,repulsion,1,microwave ovens,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,69,1028843,0.0-4.0-1.32,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1277,NA,"{""product_choice"":""A""}",choice,ct,binary,repulsion,1,microwave ovens,null,null,null,null,null,null,2,100,90,null,30,40,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,70,1029149,0.0-4.0-0.33,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,tc,binary,repulsion,2,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,71,1031059,0.0-4.0-1.33,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1903,NA,"{""product_choice"":""B""}",choice,tc,binary,repulsion,2,laptops,null,null,null,null,null,null,1,30,40,null,100,90,null,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,72,1031365,0.0-4.0-0.34,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,tc,binary,attraction,NA,televisions,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,73,1032866,0.0-4.0-1.34,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1494,NA,"{""product_choice"":""B""}",choice,tc,binary,attraction,NA,televisions,null,null,null,null,null,null,1,60,50,null,50,60,null,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,74,1033171,0.0-4.0-0.35,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,null,<p></p>,null,choice,wwb,trinary,catch,null,laptops,50,70,35,40,35,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,75,1034414,0.0-4.0-1.35,342,1,2025-05-09T01:04:42Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Macintosh,Safari,15.6.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57294,en-us,5atln9vmtaweeko,19,"[""Black or African-American""]",No,Male,NA,No,1088642,NA,1235,NA,"{""product_choice"":""C""}",choice,wwb,trinary,catch,null,laptops,50,70,35,40,35,40,2,null,null,null,null,null,null,Processing speed,Memory (RAM),NA,NA
