success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,131,0.0-0.0,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,1966,0.0-1.0,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,"[{""page_index"":0,""viewing_time"":1834}]",1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,4134,0.0-2.0,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,26134,0.0-3.0,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,"[{""page_index"":0,""viewing_time"":1031},{""page_index"":1,""viewing_time"":3367},{""page_index"":2,""viewing_time"":3384},{""page_index"":3,""viewing_time"":1549},{""page_index"":4,""viewing_time"":1065},{""page_index"":5,""viewing_time"":7336},{""page_index"":6,""viewing_time"":4267}]",22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,26439,0.0-4.0-0.0,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,null,<p></p>,null,choice,ctd,trinary,repulsion_A,2,microwave ovens,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,37752,0.0-4.0-1.0,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,11308,NA,"{""product_choice"":""A""}",choice,ctd,trinary,repulsion_A,2,microwave ovens,null,null,null,null,null,null,1,30,40,20,100,90,100,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,38056,0.0-4.0-0.1,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,null,<p></p>,null,choice,ctd,trinary,repulsion_B,1,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,62187,0.0-4.0-1.1,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,24126,NA,"{""product_choice"":""B""}",choice,ctd,trinary,repulsion_B,1,washing machines,null,null,null,null,null,null,1,90,100,80,40,30,40,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,62490,0.0-4.0-0.2,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,null,<p></p>,null,choice,tcd,trinary,repulsion_A,2,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,70404,0.0-4.0-1.2,314,1,2025-05-08T14:33:58Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Macintosh,Chrome,134.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47912,"en-US,en;q=0.9",ufvtzbsp1ag4xd4,22,"[""Black or African-American""]",No,Female,"Uganda for 5 years
Kenya for 1 year",I'm not sure,327601.7999999523,NA,7910,NA,"{""product_choice"":""B""}",choice,tcd,trinary,repulsion_A,2,laptops,null,null,null,null,null,null,1,30,40,20,100,90,100,Processing speed,Memory (RAM),NA,NA
