success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,106,0.0-0.0,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,4819,0.0-1.0,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,"[{""page_index"":0,""viewing_time"":4712}]",4712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,7446,0.0-2.0,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,44890,0.0-3.0,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,"[{""page_index"":0,""viewing_time"":933},{""page_index"":1,""viewing_time"":2461},{""page_index"":2,""viewing_time"":3841},{""page_index"":3,""viewing_time"":3633},{""page_index"":4,""viewing_time"":2063},{""page_index"":5,""viewing_time"":19404},{""page_index"":6,""viewing_time"":5107}]",37442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,45193,0.0-4.0-0.0,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,null,<p></p>,null,choice,cdt,trinary,attraction,1,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,58473,0.0-4.0-1.0,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,13275,NA,"{""product_choice"":""C""}",choice,cdt,trinary,attraction,1,washing machines,null,null,null,null,null,null,1,60,50,60,50,60,40,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,58775,0.0-4.0-0.1,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,null,<p></p>,null,choice,wwb,trinary,catch,null,televisions,80,90,30,15,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,67450,0.0-4.0-1.1,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,8673,NA,"{""product_choice"":""C""}",choice,wwb,trinary,catch,null,televisions,80,90,30,15,5,5,1,null,null,null,null,null,null,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,67751,0.0-4.0-0.2,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,null,<p></p>,null,choice,bw,binary,catch,null,televisions,75,90,10,5,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,72400,0.0-4.0-1.2,253,1,2025-05-06T17:17:22Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Macintosh,Safari,18.4,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49537,"en-US,en;q=0.9",gzz4trjt3zmlkfk,21,"[""White""]",No,Female,NA,No,709919,NA,4647,NA,"{""product_choice"":""A""}",choice,bw,binary,catch,null,televisions,75,90,10,5,null,null,2,null,null,null,null,null,null,Screen size,Average lifespan,NA,NA
