success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,208,0.0-0.0,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,1460,0.0-1.0,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,"[{""page_index"":0,""viewing_time"":1249}]",1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,3661,0.0-2.0,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,92478,0.0-3.0,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,"[{""page_index"":0,""viewing_time"":1197},{""page_index"":1,""viewing_time"":6650},{""page_index"":2,""viewing_time"":28700},{""page_index"":3,""viewing_time"":10501},{""page_index"":4,""viewing_time"":3333},{""page_index"":5,""viewing_time"":29733},{""page_index"":6,""viewing_time"":8701}]",88815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,92783,0.0-4.0-0.0,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,null,<p></p>,null,choice,tdc,trinary,repulsion_A,2,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,114462,0.0-4.0-1.0,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,21674,NA,"{""product_choice"":""C""}",choice,tdc,trinary,repulsion_A,2,laptops,null,null,null,null,null,null,1,30,40,20,100,90,100,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,114766,0.0-4.0-0.1,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,null,<p></p>,null,choice,dtc,trinary,repulsion_A,1,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,123711,0.0-4.0-1.1,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,8942,NA,"{""product_choice"":""C""}",choice,dtc,trinary,repulsion_A,1,laptops,null,null,null,null,null,null,1,100,90,100,30,40,20,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,124014,0.0-4.0-0.2,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,null,<p></p>,null,choice,bw,binary,catch,null,laptops,75,70,45,30,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,154329,0.0-4.0-1.2,82,1,2025-04-29T07:24:13Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=57776,"uk-UA,uk;q=0.9,en-US;q=0.8,en;q=0.7",q6qmx308qro2fvy,21,"[""White""]",No,Female,Ukraine,No,880184.099999994,NA,30311,NA,"{""product_choice"":""A""}",choice,bw,binary,catch,null,laptops,75,70,45,30,null,null,2,null,null,null,null,null,null,Processing speed,Memory (RAM),NA,NA
