success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,84,717343,0.0-4.0-0.40,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,null,<p></p>,null,choice,ct,binary,repulsion,1,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,85,719341,0.0-4.0-1.40,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,1993,NA,"{""product_choice"":""B""}",choice,ct,binary,repulsion,1,laptops,null,null,null,null,null,null,1,100,90,null,30,40,null,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,86,719646,0.0-4.0-0.41,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,null,<p></p>,null,choice,ct,binary,repulsion,1,microwave ovens,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,87,724862,0.0-4.0-1.41,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,5210,NA,"{""product_choice"":""A""}",choice,ct,binary,repulsion,1,microwave ovens,null,null,null,null,null,null,2,100,90,null,30,40,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,88,725165,0.0-4.0-0.42,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,null,<p></p>,null,choice,bw,binary,catch,null,microwave ovens,90,80,10,50,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,89,728048,0.0-4.0-1.42,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,2877,NA,"{""product_choice"":""A""}",choice,bw,binary,catch,null,microwave ovens,90,80,10,50,null,null,1,null,null,null,null,null,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,90,728352,0.0-4.0-0.43,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,null,<p></p>,null,choice,wwb,trinary,catch,null,televisions,80,95,45,10,30,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,91,731814,0.0-4.0-1.43,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,3457,NA,"{""product_choice"":""C""}",choice,wwb,trinary,catch,null,televisions,80,95,45,10,30,25,1,null,null,null,null,null,null,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,post_trials_message,html-button-response,92,735960,0.0-5.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,4143,<p> <b>Thank you for your patience!</b></p><p>  The study will be done after completing a brief form. </p>,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,survey_message,survey-text,93,778792,0.0-6.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,42824,NA,"{""Q0"":""I tried to consider the best deal looking at proportions between data""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I tried to consider the best deal looking at proportions between data,NA
NA,NA,NA,NA,NA,demo_age,survey-text,94,783182,0.0-7.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,4385,NA,"{""Q0"":""20""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,demo_race,survey-multi-select,95,795350,0.0-8.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,12162,NA,"{""Q0"":[""White""]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0]
NA,NA,NA,NA,NA,demo_ethnicity_gender,survey-multi-choice,96,802974,0.0-9.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,7620,NA,"{""Q0"":""No"",""Q1"":""Female""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[0,1]"
NA,NA,NA,NA,NA,demo_countries,survey-text,97,825680,0.0-10.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,22641,NA,"{""Q0"":""Italy 19 years.""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,demo_prev_study,survey-multi-choice,98,837914,0.0-11.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,12230,NA,"{""Q0"":""I'm not sure""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0]
NA,NA,NA,NA,NA,post_survey_message,html-keyboard-response,99,848460,0.0-12.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,10542,NA,j,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,debrief,image-keyboard-response,100,856331,0.0-13.0,162,1,2025-05-04T20:14:24Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Macintosh,Chrome,135.0.0.0,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56849,"it-IT,it;q=0.9,en-GB;q=0.8,en;q=0.7,ca-IT;q=0.6,ca;q=0.5,en-US;q=0.4",st1yqrrx0ltdad1,20,"[""White""]",No,Female,Italy 19 years.,I'm not sure,856256.5,NA,7865,Judg_choice_debrief.png,p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
