success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,315,0.0-0.0,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,1899,0.0-1.0,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,"[{""page_index"":0,""viewing_time"":1581}]",1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,3646,0.0-2.0,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,11920,0.0-3.0,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,"[{""page_index"":0,""viewing_time"":724},{""page_index"":1,""viewing_time"":874},{""page_index"":2,""viewing_time"":598},{""page_index"":3,""viewing_time"":889},{""page_index"":4,""viewing_time"":412},{""page_index"":5,""viewing_time"":4082},{""page_index"":6,""viewing_time"":694}]",8273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,12223,0.0-4.0-0.0,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,null,<p></p>,null,choice,cdt,trinary,repulsion_B,1,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,15042,0.0-4.0-1.0,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,2813,NA,"{""product_choice"":""B""}",choice,cdt,trinary,repulsion_B,1,laptops,null,null,null,null,null,null,1,90,100,80,40,30,40,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,15343,0.0-4.0-0.1,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,null,<p></p>,null,choice,bw,binary,catch,null,televisions,50,90,40,20,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,16553,0.0-4.0-1.1,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,1204,NA,"{""product_choice"":""A""}",choice,bw,binary,catch,null,televisions,50,90,40,20,null,null,1,null,null,null,null,null,null,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,16853,0.0-4.0-0.2,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,null,<p></p>,null,choice,tdc,trinary,repulsion_B,1,televisions,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,19744,0.0-4.0-1.2,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,2886,NA,"{""product_choice"":""C""}",choice,tdc,trinary,repulsion_B,1,televisions,null,null,null,null,null,null,2,90,100,80,40,30,40,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,10,20046,0.0-4.0-0.3,147,1,2025-05-03T21:22:50Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",Macintosh,Safari,17.2,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=52116,"en-US,en;q=0.9",8zjcmx935ms6et3,20,"[""Asian""]",No,Male,NA,Yes,142650,NA,null,<p></p>,null,choice,cdt,trinary,attraction,2,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
