success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,215,0.0-0.0,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,4226,0.0-1.0,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,"[{""page_index"":0,""viewing_time"":4003}]",4005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,9790,0.0-2.0,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,4552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,54852,0.0-3.0,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,"[{""page_index"":0,""viewing_time"":2197},{""page_index"":1,""viewing_time"":4252},{""page_index"":2,""viewing_time"":4454},{""page_index"":3,""viewing_time"":4174},{""page_index"":4,""viewing_time"":2642},{""page_index"":5,""viewing_time"":21477},{""page_index"":6,""viewing_time"":5861}]",45058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,55161,0.0-4.0-0.0,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,null,<p></p>,null,choice,wb,binary,catch,null,washing machines,75,50,35,20,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,67133,0.0-4.0-1.0,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,11956,NA,"{""product_choice"":""B""}",choice,wb,binary,catch,null,washing machines,75,50,35,20,null,null,2,null,null,null,null,null,null,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,67439,0.0-4.0-0.1,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,null,<p></p>,null,choice,tc,binary,repulsion,1,washing machines,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,74594,0.0-4.0-1.1,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,7148,NA,"{""product_choice"":""B""}",choice,tc,binary,repulsion,1,washing machines,null,null,null,null,null,null,2,100,90,null,30,40,null,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,74901,0.0-4.0-0.2,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,null,<p></p>,null,choice,tcd,trinary,repulsion_B,2,laptops,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,94175,0.0-4.0-1.2,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,19266,NA,"{""product_choice"":""B""}",choice,tcd,trinary,repulsion_B,2,laptops,null,null,null,null,null,null,2,40,30,40,90,100,80,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,10,94480,0.0-4.0-0.3,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,null,<p></p>,null,choice,tdc,trinary,repulsion_B,2,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,11,106803,0.0-4.0-1.3,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,12315,NA,"{""product_choice"":""A""}",choice,tdc,trinary,repulsion_B,2,washing machines,null,null,null,null,null,null,1,40,30,40,90,100,80,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,12,107106,0.0-4.0-0.4,146,1,2025-05-03T21:22:43Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,ChromeOS,14541.0.0,https://5puzkbbxv1.cognition.run/?sona_id=58217,"en-US,en;q=0.9",zb552jy7l707v7r,19,"[""White""]",No,Female,NA,No,589893.1999999993,NA,null,<p></p>,null,choice,dtc,trinary,repulsion_A,1,televisions,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
