success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,239,0.0-0.0,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,3495,0.0-1.0,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,"[{""page_index"":0,""viewing_time"":3252}]",3252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,6166,0.0-2.0,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,1665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,47895,0.0-3.0,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,"[{""page_index"":0,""viewing_time"":1210},{""page_index"":1,""viewing_time"":3734},{""page_index"":2,""viewing_time"":22599},{""page_index"":3,""viewing_time"":1885},{""page_index"":4,""viewing_time"":1516},{""page_index"":5,""viewing_time"":5033},{""page_index"":6,""viewing_time"":5750}]",41727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,48199,0.0-4.0-0.0,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,null,<p></p>,null,choice,cdt,trinary,attraction,1,microwave ovens,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,66351,0.0-4.0-1.0,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,18147,NA,"{""product_choice"":""A""}",choice,cdt,trinary,attraction,1,microwave ovens,null,null,null,null,null,null,1,60,50,60,50,60,40,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,66655,0.0-4.0-0.1,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,null,<p></p>,null,choice,tc,binary,attraction,NA,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,85149,0.0-4.0-1.1,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,18491,NA,"{""product_choice"":""A""}",choice,tc,binary,attraction,NA,washing machines,null,null,null,null,null,null,1,60,50,null,50,60,null,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,85452,0.0-4.0-0.2,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,null,<p></p>,null,choice,ct,binary,repulsion,2,microwave ovens,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,92114,0.0-4.0-1.2,262,1,2025-05-06T20:11:38Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15",Macintosh,Safari,17.3,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=56249,"en-US,en;q=0.9",nl7ohgnx1c2hsc9,19,"[""White""]",No,Female,"NA
",Yes,578737.0000000001,NA,6660,NA,"{""product_choice"":""B""}",choice,ct,binary,repulsion,2,microwave ovens,null,null,null,null,null,null,2,30,40,null,100,90,null,Warranty,Cooking power,NA,NA
