success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,399,0.0-0.0,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,1917,0.0-1.0,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,"[{""page_index"":0,""viewing_time"":1514}]",1515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,4315,0.0-2.0,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,1394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,79816,0.0-3.0,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,"[{""page_index"":0,""viewing_time"":1691},{""page_index"":1,""viewing_time"":3892},{""page_index"":2,""viewing_time"":38162},{""page_index"":3,""viewing_time"":1733},{""page_index"":4,""viewing_time"":831},{""page_index"":5,""viewing_time"":20419},{""page_index"":6,""viewing_time"":8773}]",75501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,80131,0.0-4.0-0.0,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,null,<p></p>,null,choice,dct,trinary,repulsion_B,2,microwave ovens,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,95323,0.0-4.0-1.0,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,15188,NA,"{""product_choice"":""C""}",choice,dct,trinary,repulsion_B,2,microwave ovens,null,null,null,null,null,null,1,40,30,40,90,100,80,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,95627,0.0-4.0-0.1,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,null,<p></p>,null,choice,ct,binary,repulsion,1,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,107182,0.0-4.0-1.1,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,11551,NA,"{""product_choice"":""A""}",choice,ct,binary,repulsion,1,laptops,null,null,null,null,null,null,1,100,90,null,30,40,null,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,107485,0.0-4.0-0.2,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,null,<p></p>,null,choice,dct,trinary,repulsion_A,2,televisions,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,114341,0.0-4.0-1.2,198,1,2025-05-05T20:11:14Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Macintosh,Safari,14.1.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=47021,en-us,dg0gmtwhll230os,22,"[""White""]",No,Female,NA,No,608707,NA,6851,NA,"{""product_choice"":""B""}",choice,dct,trinary,repulsion_A,2,televisions,null,null,null,null,null,null,2,30,40,20,100,90,100,Screen size,Average lifespan,NA,NA
