screen_id,trial_index,participant,gender,exp_duration,rt,phase,order,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d2_t,d1_c,d2_c,d1_d,d2_d,d1_name,d2_name,price_1,price_2,price_3
rating_trial,4,1,Male,1977162.2999999821,31.971,rating,tdc,attraction_2,2,laptops,NA,NA,NA,NA,NA,NA,2,50,60,60,50,40,60,Processing speed,Memory (RAM),350,320,320
rating_trial,6,1,Male,1977162.2999999821,66.374,rating,dct,attraction_2,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,50,60,60,50,40,60,Warranty,Cooking power,100,130,110
rating_trial,8,1,Male,1977162.2999999821,34.997,rating,dtc,repulsion_2,2,laptops,NA,NA,NA,NA,NA,NA,2,30,100,40,90,20,100,Processing speed,Memory (RAM),220,230,250
rating_trial,10,1,Male,1977162.2999999821,30.066,rating,tdc,repulsion_2,1,televisions,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,20,Screen size,Average lifespan,200,180,210
rating_trial,12,1,Male,1977162.2999999821,49.647,rating,wbw,catch,NA,washing machines,55,70,35,45,45,30,2,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,180,220,170
rating_trial,14,1,Male,1977162.2999999821,24.913,rating,ctd,repulsion_2,1,laptops,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Processing speed,Memory (RAM),400,410,390
rating_trial,16,1,Male,1977162.2999999821,24.645,rating,dct,repulsion_1,1,televisions,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,25,Screen size,Average lifespan,180,210,200
rating_trial,18,1,Male,1977162.2999999821,26.124,rating,wbw,catch,NA,televisions,90,70,30,45,40,10,1,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,180,350,150
rating_trial,20,1,Male,1977162.2999999821,27.767,rating,bww,catch,NA,televisions,60,70,45,15,10,5,1,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,300,130,100
rating_trial,22,1,Male,1977162.2999999821,74.566,rating,dct,attraction_2,1,televisions,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Screen size,Average lifespan,190,200,210
rating_trial,24,1,Male,1977162.2999999821,23.464,rating,ctd,repulsion_2,2,televisions,NA,NA,NA,NA,NA,NA,2,30,100,40,90,20,100,Screen size,Average lifespan,230,200,180
rating_trial,26,1,Male,1977162.2999999821,53.242,rating,dtc,attraction_1,1,televisions,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Screen size,Average lifespan,200,210,200
rating_trial,28,1,Male,1977162.2999999821,18.702,rating,bww,catch,NA,microwave ovens,50,65,25,5,45,50,1,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,110,50,80
rating_trial,30,1,Male,1977162.2999999821,20.979,rating,dtc,repulsion_1,1,microwave ovens,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,25,Warranty,Cooking power,60,70,80
rating_trial,32,1,Male,1977162.2999999821,15.334,rating,dtc,attraction_1,1,microwave ovens,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,45,Warranty,Cooking power,80,90,95
rating_trial,34,1,Male,1977162.2999999821,48.15,rating,dct,repulsion_1,2,televisions,NA,NA,NA,NA,NA,NA,1,30,100,40,90,25,100,Screen size,Average lifespan,150,180,160
