screen_id,trial_index,participant,gender,exp_duration,rt,phase,order,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d2_t,d1_c,d2_c,d1_d,d2_d,d1_name,d2_name,choice
choice_trial,123,1,Male,1977162.299999982,5.416,choice,tdc,repulsion_2,2,washing machines,NA,NA,NA,NA,NA,NA,1,30,100,40,90,20,100,Average lifespan,Energy savings,c
choice_trial,125,1,Male,1977162.299999982,4.512,choice,tdc,attraction_2,1,televisions,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Screen size,Average lifespan,c
choice_trial,127,1,Male,1977162.299999982,4.695,choice,tcd,repulsion_1,2,washing machines,NA,NA,NA,NA,NA,NA,1,30,100,40,90,25,100,Average lifespan,Energy savings,c
choice_trial,129,1,Male,1977162.299999982,5.041,choice,tcd,attraction_1,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Warranty,Cooking power,c
choice_trial,131,1,Male,1977162.299999982,3.743,choice,bww,catch,NA,microwave ovens,85,70,20,45,35,25,2,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,b
choice_trial,133,1,Male,1977162.299999982,179.832,choice,dct,repulsion_2,2,laptops,NA,NA,NA,NA,NA,NA,2,30,100,40,90,20,100,Processing speed,Memory (RAM),c
choice_trial,135,1,Male,1977162.299999982,4.983,choice,ctd,attraction_2,2,laptops,NA,NA,NA,NA,NA,NA,2,50,60,60,50,40,60,Processing speed,Memory (RAM),c
choice_trial,137,1,Male,1977162.299999982,5.811,choice,tcd,repulsion_1,1,washing machines,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,25,Average lifespan,Energy savings,c
choice_trial,139,1,Male,1977162.299999982,4.075,choice,bww,catch,NA,washing machines,75,75,10,25,30,30,1,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
choice_trial,141,1,Male,1977162.299999982,9.109,choice,tcd,repulsion_2,1,washing machines,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Average lifespan,Energy savings,c
choice_trial,143,1,Male,1977162.299999982,7.229,choice,tdc,attraction_1,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Warranty,Cooking power,t
choice_trial,145,1,Male,1977162.299999982,8.771,choice,dtc,attraction_2,1,washing machines,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Average lifespan,Energy savings,t
choice_trial,147,1,Male,1977162.299999982,12.157,choice,ctd,attraction_2,2,microwave ovens,NA,NA,NA,NA,NA,NA,2,50,60,60,50,40,60,Warranty,Cooking power,c
choice_trial,149,1,Male,1977162.299999982,3.982,choice,bww,catch,NA,televisions,50,80,5,10,10,30,1,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
choice_trial,151,1,Male,1977162.299999982,10.699,choice,cdt,attraction_1,1,televisions,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Screen size,Average lifespan,c
choice_trial,153,1,Male,1977162.299999982,8.391,choice,cdt,repulsion_1,2,televisions,NA,NA,NA,NA,NA,NA,2,30,100,40,90,25,100,Screen size,Average lifespan,c
choice_trial,155,1,Male,1977162.299999982,14.565,choice,cdt,attraction_1,1,washing machines,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Average lifespan,Energy savings,t
choice_trial,157,1,Male,1977162.299999982,5.69,choice,dtc,repulsion_2,1,laptops,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Processing speed,Memory (RAM),c
choice_trial,159,1,Male,1977162.299999982,5.692,choice,dtc,attraction_2,2,washing machines,NA,NA,NA,NA,NA,NA,1,50,60,60,50,40,60,Average lifespan,Energy savings,c
choice_trial,161,1,Male,1977162.299999982,6.035,choice,tcd,repulsion_1,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,25,Warranty,Cooking power,c
choice_trial,163,1,Male,1977162.299999982,9.577,choice,cdt,attraction_2,2,televisions,NA,NA,NA,NA,NA,NA,1,50,60,60,50,40,60,Screen size,Average lifespan,t
choice_trial,85,11,Male,1404017.5999999642,5.682,choice,dtc,attraction_1,1,laptops,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Processing speed,Memory (RAM),t
