lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.225221
# Diagonal elements of inverse mass matrix:
# 0.0016333, 0.00161472, 0.00163022, 0.00137422, 0.00127218, 0.00143895, 0.00160949, 0.00158407, 0.00151685, 0.00139658, 0.00137122, 0.00142042, 0.00159162, 0.00163814, 0.00162917, 0.00117307, 0.00125364, 0.00116822, 0.00135042, 0.00131825, 0.00128623, 0.00155893, 0.00144331, 0.00150905, 0.000382329, 0.000388934, 0.000565414, 0.000450171, 0.000348733, 0.000629703, 0.000109203
1810.71,0.866097,0.225221,5,31,0,-1795.63,0.415239,-0.879784,0.021271,0.519568,0.392698,-0.812321,0.0244855,0.536126,0.138124,-0.969376,-0.164464,0.315921,0.370769,-0.78982,0.120696,0.600845,0.41592,-0.762777,0.0856832,0.57278,0.224966,-0.903879,-0.0825418,0.391672,1,0.870612,0.865878,0,0.49197,0.154108,0,0,0.475926,1,0.767577,0.871089,0,0.640957,0.0250935,0,0,0.490484,0.790258,0.790258,0.790258,0.790258,0.790258,0.688008,0.684267,0,0.388783,0.121785,0,0,0.376104,0.790258,0.606584,0.688385,0,0.506521,0.0198304,0,0,0.387609,1,0.870612,0.865878,0.870612,1,0.829661,0.865878,0.829661,1,1,0.767577,0.871089,0.767577,1,0.684712,0.871089,0.684712,1
1816.77,0.990064,0.225221,5,31,0,-1796.57,0.473431,-0.874956,-0.0634915,0.491024,0.458332,-0.810224,-0.0461742,0.49682,0.19845,-0.963972,-0.251029,0.293485,0.378965,-0.768945,-0.000203192,0.645319,0.468394,-0.789238,0.0290599,0.653403,0.180617,-0.880745,-0.217031,0.409987,1,0.857272,0.863037,0,0.514863,0.157569,0,0,0.479937,1,0.768008,0.858072,0,0.64044,0.0561797,0,0,0.510447,0.773018,0.773018,0.773018,0.773018,0.773018,0.662687,0.667143,0,0.397999,0.121804,0,0,0.371,0.773018,0.593684,0.663306,0,0.495072,0.0434279,0,0,0.394585,1,0.857272,0.863037,0.857272,1,0.820984,0.863037,0.820984,1,1,0.768008,0.858072,0.768008,1,0.694986,0.858072,0.694986,1
1817.04,0.898331,0.225221,4,15,0,-1803.48,0.465977,-0.869489,-0.0345981,0.467861,0.463282,-0.818006,-0.0143324,0.472805,0.220174,-0.94221,-0.227984,0.273708,0.394119,-0.759364,0.047575,0.62642,0.444095,-0.736938,0.0236306,0.600481,0.184208,-0.889446,-0.146182,0.412666,1,0.871387,0.863653,0,0.490597,0.152511,0,0,0.480461,1,0.770755,0.875717,0,0.637131,0.0235015,0,0,0.482253,0.794093,0.794093,0.794093,0.794093,0.794093,0.691962,0.685821,0,0.389579,0.121108,0,0,0.381531,0.794093,0.612051,0.695401,0,0.505942,0.0186624,0,0,0.382953,1,0.871387,0.863653,0.871387,1,0.827398,0.863653,0.827398,1,1,0.770755,0.875717,0.770755,1,0.689937,0.875717,0.689937,1
1814.9,0.944281,0.225221,4,31,0,-1801.4,0.465632,-0.83683,0.0104814,0.488516,0.466158,-0.772598,0.0179389,0.523694,0.223169,-0.930579,-0.171905,0.275789,0.377076,-0.735382,0.0531622,0.670174,0.426927,-0.780307,0.104763,0.693356,0.153909,-0.880017,-0.15312,0.45047,1,0.864753,0.87205,0,0.502197,0.138389,0,0,0.469443,1,0.767662,0.86837,0,0.640854,0.0618954,0,0,0.492038,0.789758,0.789758,0.789758,0.789758,0.789758,0.682946,0.688709,0,0.396615,0.109294,0,0,0.370747,0.789758,0.606268,0.685803,0,0.50612,0.0488824,0,0,0.388591,1,0.864753,0.87205,0.864753,1,0.823607,0.87205,0.823607,1,1,0.767662,0.86837,0.767662,1,0.706281,0.86837,0.706281,1
1816.42,0.981808,0.225221,5,31,0,-1799.6,0.365121,-0.827835,-0.122535,0.532354,0.375692,-0.773859,-0.116914,0.544371,0.112204,-0.926537,-0.325727,0.353523,0.393165,-0.744364,0.0362542,0.554835,0.429539,-0.798622,0.0775691,0.561533,0.177754,-0.892999,-0.178434,0.348289,1,0.875123,0.875011,0,0.483901,0.14962,0,0,0.460402,1,0.768849,0.872007,0,0.63943,0.0456258,0,0,0.487363,0.800318,0.800318,0.800318,0.800318,0.800318,0.700377,0.700287,0,0.387275,0.119744,0,0,0.368468,0.800318,0.615324,0.697883,0,0.511748,0.0365151,0,0,0.390046,1,0.875123,0.875011,0.875123,1,0.838143,0.875011,0.838143,1,1,0.768849,0.872007,0.768849,1,0.699616,0.872007,0.699616,1
1819.48,0.998674,0.225221,5,31,0,-1807.67,0.492662,-0.869127,-0.0191626,0.464756,0.471623,-0.827844,-0.0244992,0.501679,0.266653,-0.971437,-0.213771,0.265173,0.423195,-0.729566,0.0331416,0.643849,0.49599,-0.782422,0.0564639,0.638238,0.197864,-0.871782,-0.203403,0.431399,1,0.865524,0.863396,0,0.500868,0.147266,0,0,0.482555,1,0.776204,0.866926,0,0.630481,0.0303013,0,0,0.497515,0.787243,0.787243,0.787243,0.787243,0.787243,0.681377,0.679702,0,0.394305,0.115934,0,0,0.379888,0.787243,0.611061,0.682481,0,0.496342,0.0238545,0,0,0.391665,1,0.865524,0.863396,0.865524,1,0.821051,0.863396,0.821051,1,1,0.776204,0.866926,0.776204,1,0.692016,0.866926,0.692016,1
1818.74,0.826635,0.225221,5,31,0,-1805.37,0.34743,-0.828645,-0.0751315,0.496526,0.346296,-0.801899,-0.0700897,0.540594,0.110751,-0.95915,-0.268597,0.349494,0.382766,-0.763399,0.0529873,0.555289,0.436184,-0.804076,0.0810528,0.549815,0.178644,-0.896478,-0.184273,0.339626,1,0.875296,0.873325,0,0.483587,0.133722,0,0,0.468424,1,0.766816,0.872469,0,0.641867,0.0326215,0,0,0.487579,0.80065,0.80065,0.80065,0.80065,0.80065,0.700806,0.699228,0,0.387184,0.107065,0,0,0.375044,0.80065,0.613951,0.698542,0,0.513911,0.0261184,0,0,0.39038,1,0.875296,0.873325,0.875296,1,0.829085,0.873325,0.829085,1,1,0.766816,0.872469,0.766816,1,0.689962,0.872469,0.689962,1
1812.81,0.703354,0.225221,5,31,0,-1800.06,0.527884,-0.816266,-0.0228949,0.541215,0.488952,-0.811399,-0.0187909,0.499759,0.247072,-0.955177,-0.20823,0.297472,0.403339,-0.761318,0.0582751,0.682395,0.466389,-0.753588,0.00339702,0.657857,0.194153,-0.907113,-0.149051,0.451901,1,0.864236,0.865454,0,0.503087,0.1541,0,0,0.476699,1,0.758566,0.865364,0,0.651597,0.0510074,0,0,0.498541,0.779426,0.779426,0.779426,0.779426,0.779426,0.673608,0.674558,0,0.392119,0.12011,0,0,0.371552,0.779426,0.591246,0.674487,0,0.507872,0.0397565,0,0,0.388576,1,0.864236,0.865454,0.864236,1,0.825482,0.865454,0.825482,1,1,0.758566,0.865364,0.758566,1,0.689672,0.865364,0.689672,1
1819.52,0.991332,0.225221,4,31,0,-1799.33,0.402555,-0.764123,-0.0761803,0.479878,0.389052,-0.757043,-0.0795393,0.46997,0.151401,-0.902014,-0.270772,0.276482,0.430108,-0.775346,0.055399,0.625252,0.462842,-0.779308,0.0918499,0.626696,0.222528,-0.909019,-0.145236,0.395188,1,0.871559,0.873175,0,0.49029,0.14019,0,0,0.466811,1,0.787336,0.872736,0,0.616524,0.0201393,0,0,0.487776,0.798907,0.798907,0.798907,0.798907,0.798907,0.696295,0.697586,0,0.391696,0.111999,0,0,0.372938,0.798907,0.629009,0.697235,0,0.492545,0.0160894,0,0,0.389688,1,0.871559,0.873175,0.871559,1,0.829758,0.873175,0.829758,1,1,0.787336,0.872736,0.787336,1,0.699554,0.872736,0.699554,1
1817.98,0.778244,0.225221,5,31,0,-1802.35,0.43204,-0.822897,-0.038831,0.555507,0.396286,-0.794382,-0.0418696,0.582839,0.155741,-0.946513,-0.248726,0.374583,0.41823,-0.769886,0.011095,0.603725,0.436958,-0.819213,0.0309944,0.61061,0.187685,-0.927322,-0.237504,0.367063,1,0.863721,0.85935,0,0.503971,0.143262,0,0,0.49091,1,0.754724,0.864154,0,0.656042,0.0606053,0,0,0.499564,0.772116,0.772116,0.772116,0.772116,0.772116,0.666893,0.663518,0,0.389124,0.110615,0,0,0.37904,0.772116,0.582735,0.667228,0,0.506541,0.0467943,0,0,0.385722,1,0.863721,0.85935,0.863721,1,0.814439,0.85935,0.814439,1,1,0.754724,0.864154,0.754724,1,0.691958,0.864154,0.691958,1
