lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s.1,s.2,s.3,S_attraction.1.1,S_attraction.2.1,S_attraction.3.1,S_attraction.1.2,S_attraction.2.2,S_attraction.3.2,S_attraction.1.3,S_attraction.2.3,S_attraction.3.3,S_repulsion.1.1,S_repulsion.2.1,S_repulsion.3.1,S_repulsion.1.2,S_repulsion.2.2,S_repulsion.3.2,S_repulsion.1.3,S_repulsion.2.3,S_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.269186
# Diagonal elements of inverse mass matrix:
# 0.00152747, 0.00159725, 0.00174331, 0.00133035, 0.00134973, 0.00142221, 0.00161364, 0.00154317, 0.00150645, 0.00160986, 0.00166653, 0.00163235, 0.00147416, 0.00153037, 0.00152789, 0.00144704, 0.00142712, 0.00144249, 0.00152911, 0.00159963, 0.00154297, 0.00151208, 0.00158439, 0.00156275, 0.000480564, 0.000422399, 0.000480161, 0.000453072, 0.000472845, 0.000515955, 0.000133514, 0.000141428, 0.000136053
698.428,0.913446,0.269186,5,31,0,-679.478,0.54695,-0.825606,-0.0929481,0.513178,0.490401,-0.733059,-0.0698203,0.518171,0.249804,-0.930168,-0.297757,0.3138,0.389296,-0.814709,0.0936261,0.690019,0.483418,-0.786618,0.069054,0.723621,0.211335,-0.971532,-0.138514,0.443456,1,0.862597,0.819126,0,0.505891,0.181903,0,0,0.544008,1,0.754157,0.854762,0,0.656695,0.0296246,0,0,0.518173,0.83362,0.853016,0.836822,0.83362,0.735809,0.685463,0,0.431533,0.15222,0,0,0.455238,0.83362,0.643307,0.715284,0,0.560171,0.0247905,0,0,0.433619,1,0.862597,0.819126,0.862597,1,0.798599,0.819126,0.798599,1,1,0.754157,0.854762,0.754157,1,0.664079,0.854762,0.664079,1
703.32,0.998293,0.269186,4,31,0,-683.972,0.451918,-0.849971,0.0208121,0.48692,0.441133,-0.794862,0.0199703,0.522333,0.194495,-0.98557,-0.204537,0.302376,0.463904,-0.67407,0.0371636,0.681426,0.501812,-0.705852,0.0371207,0.670765,0.232079,-0.80938,-0.150687,0.451132,1,0.857449,0.801895,0,0.514569,0.146078,0,0,0.579332,1,0.743444,0.863055,0,0.668798,0.0322505,0,0,0.504079,0.826469,0.829762,0.831108,0.826469,0.711478,0.666461,0,0.42697,0.121406,0,0,0.481488,0.826469,0.616882,0.717292,0,0.554943,0.0268037,0,0,0.418944,1,0.857449,0.801895,0.857449,1,0.762751,0.801895,0.762751,1,1,0.743444,0.863055,0.743444,1,0.663203,0.863055,0.663203,1
703.609,0.836163,0.269186,5,31,0,-686.414,0.461802,-0.804814,-0.0861315,0.471161,0.440795,-0.776971,-0.0665244,0.511102,0.228555,-0.974257,-0.261236,0.305846,0.387835,-0.827946,0.0343791,0.676362,0.429211,-0.776327,0.0292062,0.663068,0.1603,-0.972121,-0.145307,0.451075,1,0.872755,0.820808,0,0.488159,0.149428,0,0,0.551313,1,0.765645,0.863487,0,0.643263,0.0208191,0,0,0.503941,0.846965,0.85653,0.848514,0.846965,0.747541,0.696467,0,0.418123,0.126791,0,0,0.467797,0.846965,0.655798,0.732682,0,0.550974,0.0176653,0,0,0.427601,1,0.872755,0.820808,0.872755,1,0.789308,0.820808,0.789308,1,1,0.765645,0.863487,0.765645,1,0.674517,0.863487,0.674517,1
701.434,0.732085,0.269186,5,31,0,-683.116,0.465894,-0.807204,-0.0853032,0.505616,0.435075,-0.748098,-0.102699,0.52562,0.184933,-0.903287,-0.273299,0.323959,0.394393,-0.783888,0.0796632,0.655598,0.453207,-0.783048,0.108252,0.639843,0.233969,-0.975173,-0.176442,0.431887,1,0.857814,0.811717,0,0.51396,0.147091,0,0,0.565225,1,0.751135,0.857418,0,0.660149,0.013951,0,0,0.514432,0.836961,0.852178,0.841788,0.836961,0.731011,0.683293,0,0.437985,0.123819,0,0,0.4758,0.836961,0.640101,0.721764,0,0.562565,0.0117438,0,0,0.433042,1,0.857814,0.811717,0.857814,1,0.771901,0.811717,0.771901,1,1,0.751135,0.857418,0.751135,1,0.653246,0.857418,0.653246,1
700.461,0.917238,0.269186,5,31,0,-683.838,0.523692,-0.870481,-0.0310706,0.521367,0.511521,-0.86335,0.00784786,0.525896,0.299743,-0.976315,-0.22069,0.343677,0.44762,-0.743824,0.0202168,0.688007,0.451292,-0.701784,0.0594865,0.66182,0.217677,-0.852112,-0.194218,0.476757,1,0.860407,0.809881,0,0.509607,0.174924,0,0,0.559905,1,0.746885,0.8563,0,0.664953,0.0541981,0,0,0.513627,0.826981,0.841592,0.83767,0.826981,0.724112,0.678413,0,0.428881,0.146529,0,0,0.469016,0.826981,0.628572,0.717297,0,0.559619,0.0454001,0,0,0.43025,1,0.860407,0.809881,0.860407,1,0.78597,0.809881,0.78597,1,1,0.746885,0.8563,0.746885,1,0.675597,0.8563,0.675597,1
701.978,0.953454,0.269186,4,15,0,-684.499,0.47212,-0.886161,-0.0868811,0.520064,0.474655,-0.857257,-0.0861533,0.535892,0.213899,-1.06806,-0.222616,0.320245,0.353538,-0.748208,0.00359569,0.675122,0.444143,-0.758928,-0.00279167,0.710971,0.154329,-0.887146,-0.208317,0.440127,1,0.861642,0.797878,0,0.507516,0.19204,0,0,0.571412,1,0.736911,0.859195,0,0.67599,0.0368027,0,0,0.510324,0.829356,0.844589,0.827501,0.829356,0.727733,0.660244,0,0.428643,0.158913,0,0,0.472844,0.829356,0.622387,0.710984,0,0.570933,0.0304543,0,0,0.422293,1,0.861642,0.797878,0.861642,1,0.784949,0.797878,0.784949,1,1,0.736911,0.859195,0.736911,1,0.658028,0.859195,0.658028,1
701.235,0.984427,0.269186,5,31,0,-690.391,0.433762,-0.748929,-0.0483835,0.537417,0.411652,-0.744009,-0.0267696,0.553815,0.219563,-0.853264,-0.25247,0.356964,0.4797,-0.738178,0.088879,0.619275,0.557895,-0.737626,0.0735789,0.61096,0.274534,-0.881,-0.127696,0.400702,1,0.873718,0.810402,0,0.486432,0.159603,0,0,0.563717,1,0.746325,0.863218,0,0.665581,0.0288963,0,0,0.504003,0.840509,0.865271,0.843638,0.840509,0.756003,0.683685,0,0.420895,0.134647,0,0,0.475573,0.840509,0.645773,0.728244,0,0.575908,0.024378,0,0,0.425196,1,0.873718,0.810402,0.873718,1,0.785699,0.810402,0.785699,1,1,0.746325,0.863218,0.746325,1,0.663475,0.863218,0.663475,1
701.062,0.763917,0.269186,4,15,0,-686.579,0.459011,-0.77455,-0.058052,0.538908,0.413892,-0.750663,-0.0785544,0.549807,0.176467,-0.955961,-0.211235,0.335483,0.47092,-0.718233,0.0614211,0.593653,0.51882,-0.730806,0.100341,0.601442,0.281402,-0.870141,-0.144744,0.340949,1,0.854563,0.821447,0,0.519348,0.148805,0,0,0.550528,1,0.768435,0.86418,0,0.639928,0.0431328,0,0,0.50133,0.842934,0.84353,0.844031,0.842934,0.720849,0.693327,0,0.438085,0.125596,0,0,0.464663,0.842934,0.648198,0.729395,0,0.539798,0.0364054,0,0,0.423138,1,0.854563,0.821447,0.854563,1,0.77926,0.821447,0.77926,1,1,0.768435,0.86418,0.768435,1,0.691668,0.86418,0.691668,1
706.046,0.983786,0.269186,4,15,0,-692.703,0.458008,-0.788225,-0.0564658,0.533698,0.401647,-0.731504,-0.0442295,0.555126,0.21313,-0.938141,-0.207498,0.312141,0.483241,-0.730426,0.0870314,0.587728,0.525786,-0.719783,0.101924,0.591986,0.262573,-0.859599,-0.146866,0.373501,1,0.86048,0.820116,0,0.509484,0.152602,0,0,0.551473,1,0.763224,0.862403,0,0.646134,0.0464568,0,0,0.504087,0.841837,0.849361,0.843438,0.841837,0.730859,0.691717,0,0.432736,0.12871,0,0,0.465133,0.841837,0.648253,0.727383,0,0.548801,0.0391834,0,0,0.425166,1,0.86048,0.820116,0.86048,1,0.783442,0.820116,0.783442,1,1,0.763224,0.862403,0.763224,1,0.688224,0.862403,0.688224,1
702.913,0.760879,0.269186,5,31,0,-687.193,0.490673,-0.896203,-0.0546914,0.542524,0.445886,-0.894014,-0.0283498,0.538857,0.198612,-1.02471,-0.235296,0.373789,0.395847,-0.793169,-0.00354398,0.71019,0.428279,-0.75414,0.0168888,0.703077,0.197932,-0.928371,-0.22972,0.499499,1,0.860076,0.809024,0,0.510165,0.171671,0,0,0.562148,1,0.76126,0.864024,0,0.648447,0.019761,0,0,0.503063,0.83151,0.845028,0.838182,0.83151,0.726789,0.678109,0,0.431104,0.143891,0,0,0.471182,0.83151,0.643286,0.724209,0,0.547956,0.0165633,0,0,0.421658,1,0.860076,0.809024,0.860076,1,0.783402,0.809024,0.783402,1,1,0.76126,0.864024,0.76126,1,0.67056,0.864024,0.67056,1
