lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.266997
# Diagonal elements of inverse mass matrix:
# 0.00148447, 0.00139417, 0.00147062, 0.00143694, 0.00137944, 0.00135679, 0.00130403, 0.00134666, 0.00121935, 0.00132738, 0.00135167, 0.00125625, 0.00103738, 0.00117291, 0.00106084, 0.00133062, 0.00139581, 0.00133798, 0.00151083, 0.00154654, 0.00151032, 0.00144704, 0.00138914, 0.00151907, 0.000384166, 0.000433303, 0.000597486, 0.000423566, 0.000411008, 0.000571602, 0.000110167
1810.38,0.525323,0.266997,5,31,0,-1787.64,0.544159,-0.902026,-0.0800542,0.599416,0.50468,-0.868089,-0.0863044,0.647395,0.257944,-1.01337,-0.274892,0.400943,0.401347,-0.766709,0.0175265,0.570235,0.455061,-0.740206,0.0256755,0.637421,0.210633,-0.914163,-0.17878,0.357345,1,0.868598,0.876713,0,0.495517,0.143813,0,0,0.459012,1,0.774253,0.866266,0,0.632876,0.0488218,0,0,0.497192,0.797234,0.797234,0.797234,0.797234,0.797234,0.692476,0.698945,0,0.395043,0.114652,0,0,0.36594,0.797234,0.617261,0.690617,0,0.50455,0.0389224,0,0,0.396378,1,0.868598,0.876713,0.868598,1,0.832773,0.876713,0.832773,1,1,0.774253,0.866266,0.774253,1,0.701607,0.866266,0.701607,1
1819.6,0.95546,0.266997,4,31,0,-1798.24,0.449128,-0.822781,-0.0804838,0.533176,0.39982,-0.789748,-0.0870988,0.589993,0.163892,-0.940172,-0.279432,0.33012,0.372109,-0.732994,0.0580014,0.586182,0.445461,-0.773739,0.0791642,0.580002,0.167382,-0.860418,-0.140738,0.394652,1,0.872781,0.866945,0,0.488112,0.158581,0,0,0.472503,1,0.778485,0.872722,0,0.627663,0.0465442,0,0,0.485993,0.797522,0.797522,0.797522,0.797522,0.797522,0.696062,0.691407,0,0.38928,0.126472,0,0,0.376831,0.797522,0.620859,0.696015,0,0.500575,0.03712,0,0,0.38759,1,0.872781,0.866945,0.872781,1,0.834058,0.866945,0.834058,1,1,0.778485,0.872722,0.778485,1,0.708615,0.872722,0.708615,1
1823.46,0.920345,0.266997,5,31,0,-1809.12,0.496258,-0.825619,-0.0330787,0.556369,0.470765,-0.806528,-0.036126,0.589596,0.228232,-0.9546,-0.230706,0.351632,0.39348,-0.727846,0.083483,0.638341,0.449945,-0.763536,0.107384,0.601125,0.194537,-0.887599,-0.115147,0.426517,1,0.867227,0.870611,0,0.497912,0.134132,0,0,0.473334,1,0.764183,0.866379,0,0.645,0.0326539,0,0,0.498319,0.781637,0.781637,0.781637,0.781637,0.781637,0.677857,0.680502,0,0.389186,0.104842,0,0,0.369975,0.781637,0.597313,0.677193,0,0.504156,0.0255235,0,0,0.389504,1,0.867227,0.870611,0.867227,1,0.821804,0.870611,0.821804,1,1,0.764183,0.866379,0.764183,1,0.683133,0.866379,0.683133,1
1820.07,0.609804,0.266997,4,31,0,-1800.86,0.485008,-0.751607,-0.0469142,0.549952,0.458887,-0.709059,-0.0398046,0.572953,0.222966,-0.88613,-0.238745,0.355746,0.411821,-0.830411,0.00727769,0.620882,0.488984,-0.826598,0.0203746,0.623668,0.222994,-0.968315,-0.228112,0.400511,1,0.872405,0.866373,0,0.488784,0.154408,0,0,0.474926,1,0.773506,0.87201,0,0.633789,0.0452242,0,0,0.487395,0.792619,0.792619,0.792619,0.792619,0.792619,0.691485,0.686704,0,0.387419,0.122387,0,0,0.376436,0.792619,0.613096,0.691171,0,0.502353,0.0358455,0,0,0.386319,1,0.872405,0.866373,0.872405,1,0.831301,0.866373,0.831301,1,1,0.773506,0.87201,0.773506,1,0.703167,0.87201,0.703167,1
1820.8,0.88731,0.266997,5,31,0,-1806.54,0.395776,-0.892886,0.00953226,0.468689,0.386822,-0.881669,0.0233352,0.487268,0.161127,-1.01336,-0.182316,0.275458,0.370112,-0.792718,0.0323591,0.601263,0.414303,-0.797529,0.0501303,0.604717,0.152895,-0.934998,-0.188204,0.366254,1,0.872821,0.870756,0,0.48804,0.157722,0,0,0.465734,1,0.770518,0.872809,0,0.637418,0.0538314,0,0,0.485084,0.794735,0.794735,0.794735,0.794735,0.794735,0.693661,0.69202,0,0.387863,0.125347,0,0,0.370135,0.794735,0.612357,0.693651,0,0.506578,0.0427816,0,0,0.385513,1,0.872821,0.870756,0.872821,1,0.836989,0.870756,0.836989,1,1,0.770518,0.872809,0.770518,1,0.706828,0.872809,0.706828,1
1818.49,0.710075,0.266997,5,31,0,-1805.82,0.433562,-0.777965,-0.0791638,0.475206,0.386854,-0.774542,-0.0776614,0.506341,0.179574,-0.881743,-0.28259,0.283135,0.360702,-0.757154,0.00337785,0.599469,0.415234,-0.770194,0.01274,0.627891,0.133245,-0.900193,-0.219976,0.376195,1,0.870712,0.871265,0,0.491793,0.119351,0,0,0.47608,1,0.781557,0.871293,0,0.623833,0.0260936,0,0,0.490069,0.791863,0.791863,0.791863,0.791863,0.791863,0.689485,0.689923,0,0.389433,0.0945093,0,0,0.37699,0.791863,0.618886,0.689945,0,0.493991,0.0206625,0,0,0.388067,1,0.870712,0.871265,0.870712,1,0.817317,0.871265,0.817317,1,1,0.781557,0.871293,0.781557,1,0.697244,0.871293,0.697244,1
1816.09,0.721432,0.266997,4,31,0,-1805.63,0.432027,-0.785361,-0.0923003,0.480963,0.384298,-0.765643,-0.0764563,0.516458,0.178252,-0.901053,-0.287913,0.262108,0.367942,-0.735573,-0.00845954,0.607101,0.413435,-0.768064,0.00777136,0.627823,0.125774,-0.908644,-0.216486,0.377791,1,0.871062,0.869753,0,0.491172,0.122089,0,0,0.478147,1,0.780766,0.871576,0,0.624823,0.0236846,0,0,0.489687,0.790574,0.790574,0.790574,0.790574,0.790574,0.688639,0.687604,0,0.388308,0.0965206,0,0,0.378011,0.790574,0.617254,0.689046,0,0.493969,0.0187244,0,0,0.387134,1,0.871062,0.869753,0.871062,1,0.817576,0.869753,0.817576,1,1,0.780766,0.871576,0.780766,1,0.695296,0.871576,0.695296,1
1819.67,0.988134,0.266997,4,15,0,-1806.66,0.420195,-0.849038,-0.0304462,0.476446,0.404159,-0.820909,-0.0293046,0.503237,0.142446,-0.968776,-0.197326,0.29225,0.397858,-0.760683,0.0108838,0.613662,0.422277,-0.786925,0.0315685,0.592927,0.160462,-0.913794,-0.19505,0.406688,1,0.870515,0.870738,0,0.492142,0.15863,0,0,0.46546,1,0.770262,0.868584,0,0.637727,0.0688173,0,0,0.490741,0.797608,0.797608,0.797608,0.797608,0.797608,0.694329,0.694507,0,0.392536,0.126524,0,0,0.371254,0.797608,0.614367,0.692789,0,0.508656,0.0548892,0,0,0.391418,1,0.870515,0.870738,0.870515,1,0.836058,0.870738,0.836058,1,1,0.770262,0.868584,0.770262,1,0.712924,0.868584,0.712924,1
1820.48,0.960936,0.266997,4,15,0,-1808.41,0.41278,-0.851004,-0.0722762,0.569144,0.375324,-0.8123,-0.070948,0.575497,0.15946,-0.96605,-0.281277,0.347037,0.380123,-0.78477,0.0664631,0.639981,0.451075,-0.810014,0.0686201,0.615702,0.211275,-0.927574,-0.136243,0.419713,1,0.86345,0.869428,0,0.504434,0.131717,0,0,0.476179,1,0.768596,0.873027,0,0.639734,0.0242577,0,0,0.487068,0.790835,0.790835,0.790835,0.790835,0.790835,0.682847,0.687574,0,0.398924,0.104167,0,0,0.376579,0.790835,0.607833,0.69042,0,0.505924,0.0191838,0,0,0.385191,1,0.86345,0.869428,0.86345,1,0.81715,0.869428,0.81715,1,1,0.768596,0.873027,0.768596,1,0.686524,0.873027,0.686524,1
1814.92,0.795187,0.266997,4,15,0,-1804.15,0.482625,-0.880441,-0.109523,0.561411,0.455373,-0.847071,-0.0904637,0.583938,0.231683,-0.99421,-0.296517,0.347523,0.400869,-0.784026,-0.0292603,0.64121,0.499694,-0.792056,0.00142085,0.652867,0.218182,-0.908181,-0.200579,0.403167,1,0.877027,0.870489,0,0.480441,0.150121,0,0,0.468735,1,0.772789,0.862851,0,0.634663,0.0340697,0,0,0.504308,0.79209,0.79209,0.79209,0.79209,0.79209,0.694685,0.689506,0,0.380552,0.11891,0,0,0.37128,0.79209,0.612118,0.683456,0,0.50271,0.0269862,0,0,0.399457,1,0.877027,0.870489,0.877027,1,0.835567,0.870489,0.835567,1,1,0.772789,0.862851,0.772789,1,0.688425,0.862851,0.688425,1
