"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","3728","0.0-0.0","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","21600","0.0-1.0","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","16869","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","209183","0.0-2.0","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","187579","[{""page_index"":0,""viewing_time"":3347},{""page_index"":1,""viewing_time"":6712},{""page_index"":2,""viewing_time"":6224},{""page_index"":3,""viewing_time"":10376},{""page_index"":4,""viewing_time"":21680},{""page_index"":5,""viewing_time"":26776},{""page_index"":6,""viewing_time"":7408},{""page_index"":7,""viewing_time"":41584},{""page_index"":8,""viewing_time"":50192},{""page_index"":9,""viewing_time"":13280}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","209486","0.0-3.0-0.0","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","null","","<p></p>","null","rating","wwb","catch","null","laptops","65","80","25","30","35","45","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","254336","0.0-3.0-1.0","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","44846","","","{""price_1"":""150"",""price_2"":""170"",""price_3"":""200""}","rating","wwb","catch","null","laptops","65","80","25","30","35","45","2","null","null","null","null","null","null","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","254640","0.0-3.0-0.1","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","null","","<p></p>","null","rating","tdc","repulsion_2","1","microwave ovens","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","283279","0.0-3.0-1.1","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","28635","","","{""price_1"":""87"",""price_2"":""95"",""price_3"":""100""}","rating","tdc","repulsion_2","1","microwave ovens","null","null","null","null","null","null","2","100","90","100","30","40","20","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","283582","0.0-3.0-0.2","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","null","","<p></p>","null","rating","wbw","catch","null","laptops","90","75","40","15","35","50","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","310311","0.0-3.0-1.2","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","26725","","","{""price_1"":""160"",""price_2"":""187"",""price_3"":""210""}","rating","wbw","catch","null","laptops","90","75","40","15","35","50","2","null","null","null","null","null","null","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","310614","0.0-3.0-0.3","146","1","2025-04-14 14:14:03","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","WebKit","Chrome","133.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","6y7qygcmhuxw9sv","59","[""White""]","No","Female","2749949.5","null","","<p></p>","null","rating","dtc","attraction_1","2","laptops","null","null","null","null","null","null","1","","","","","","","","","",""
