"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","259","0.0-0.0","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","3850","0.0-1.0","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","2585","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","110596","0.0-2.0","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","106745","[{""page_index"":0,""viewing_time"":1693},{""page_index"":1,""viewing_time"":6483},{""page_index"":2,""viewing_time"":4983},{""page_index"":3,""viewing_time"":5950},{""page_index"":4,""viewing_time"":8900},{""page_index"":5,""viewing_time"":5984},{""page_index"":6,""viewing_time"":9416},{""page_index"":7,""viewing_time"":46800},{""page_index"":8,""viewing_time"":12533},{""page_index"":9,""viewing_time"":4002}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","110901","0.0-3.0-0.0","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","null","","<p></p>","null","rating","tcd","repulsion_1","2","microwave ovens","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","175534","0.0-3.0-1.0","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","64604","","","{""price_1"":""50"",""price_2"":""45"",""price_3"":""40""}","rating","tcd","repulsion_1","2","microwave ovens","null","null","null","null","null","null","1","30","40","25","100","90","100","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","175837","0.0-3.0-0.1","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","null","","<p></p>","null","rating","wwb","catch","null","microwave ovens","75","80","10","20","40","5","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","229601","0.0-3.0-1.1","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","53761","","","{""price_1"":""30"",""price_2"":""20"",""price_3"":""45""}","rating","wwb","catch","null","microwave ovens","75","80","10","20","40","5","1","null","null","null","null","null","null","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","229904","0.0-3.0-0.2","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","null","","<p></p>","null","rating","cdt","repulsion_2","2","televisions","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","265452","0.0-3.0-1.2","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","35545","","","{""price_1"":""80"",""price_2"":""60"",""price_3"":""70""}","rating","cdt","repulsion_2","2","televisions","null","null","null","null","null","null","1","30","40","20","100","90","100","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","265754","0.0-3.0-0.3","196","1","2025-04-14 14:45:33","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15","Macintosh","Safari","18.4","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","urmu7p7jlblp2g5","46","[""White""]","No","Female","1803112","null","","<p></p>","null","rating","ctd","repulsion_2","1","microwave ovens","null","null","null","null","null","null","1","","","","","","","","","",""
