"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","3778","0.0-0.0","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","14777","0.0-1.0","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","9946","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","148874","0.0-2.0","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","134095","[{""page_index"":0,""viewing_time"":5745},{""page_index"":1,""viewing_time"":5145},{""page_index"":2,""viewing_time"":4774},{""page_index"":3,""viewing_time"":7842},{""page_index"":4,""viewing_time"":62069},{""page_index"":5,""viewing_time"":7846},{""page_index"":6,""viewing_time"":5601},{""page_index"":7,""viewing_time"":21001},{""page_index"":8,""viewing_time"":7732},{""page_index"":9,""viewing_time"":6341}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","149178","0.0-3.0-0.0","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","null","","<p></p>","null","rating","wbw","catch","null","laptops","70","80","40","30","20","20","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","214860","0.0-3.0-1.0","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","65680","","","{""price_1"":""500"",""price_2"":""900"",""price_3"":""100""}","rating","wbw","catch","null","laptops","70","80","40","30","20","20","1","null","null","null","null","null","null","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","215162","0.0-3.0-0.1","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","null","","<p></p>","null","rating","wbw","catch","null","laptops","80","75","50","50","10","30","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","241680","0.0-3.0-1.1","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","26516","","","{""price_1"":""520"",""price_2"":""950"",""price_3"":""90""}","rating","wbw","catch","null","laptops","80","75","50","50","10","30","2","null","null","null","null","null","null","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","241983","0.0-3.0-0.2","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","null","","<p></p>","null","rating","tcd","attraction_1","2","televisions","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","296206","0.0-3.0-1.2","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","54222","","","{""price_1"":""120"",""price_2"":""129"",""price_3"":""98""}","rating","tcd","attraction_1","2","televisions","null","null","null","null","null","null","2","50","60","45","60","50","60","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","296509","0.0-3.0-0.3","84","1","2025-04-11 14:36:30","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","3dgv4yuovb0frjk","22","[""Black or African-American""]","No","Male","3340915.900000006","null","","<p></p>","null","rating","dtc","repulsion_1","1","washing machines","null","null","null","null","null","null","1","","","","","","","","","",""
