"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","3839","0.0-0.0","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","46499","0.0-1.0","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","41650","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","283863","0.0-2.0","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","237359","[{""page_index"":0,""viewing_time"":3312},{""page_index"":1,""viewing_time"":9354},{""page_index"":2,""viewing_time"":12080},{""page_index"":3,""viewing_time"":17165},{""page_index"":4,""viewing_time"":32123},{""page_index"":5,""viewing_time"":16371},{""page_index"":6,""viewing_time"":14595},{""page_index"":7,""viewing_time"":60561},{""page_index"":8,""viewing_time"":22969},{""page_index"":9,""viewing_time"":48829}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","284168","0.0-3.0-0.0","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","null","","<p></p>","null","rating","cdt","repulsion_2","1","laptops","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","352821","0.0-3.0-1.0","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","68647","","","{""price_1"":""2000"",""price_2"":""1800"",""price_3"":""2100""}","rating","cdt","repulsion_2","1","laptops","null","null","null","null","null","null","1","100","90","100","30","40","20","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","353137","0.0-3.0-0.1","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","null","","<p></p>","null","rating","ctd","repulsion_1","2","microwave ovens","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","407343","0.0-3.0-1.1","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","54203","","","{""price_1"":""100"",""price_2"":""110"",""price_3"":""90""}","rating","ctd","repulsion_1","2","microwave ovens","null","null","null","null","null","null","1","30","40","25","100","90","100","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","407657","0.0-3.0-0.2","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","null","","<p></p>","null","rating","tdc","repulsion_2","2","televisions","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","471510","0.0-3.0-1.2","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","63850","","","{""price_1"":""300"",""price_2"":""250"",""price_3"":""350""}","rating","tdc","repulsion_2","2","televisions","null","null","null","null","null","null","1","30","40","20","100","90","100","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","471816","0.0-3.0-0.3","133","1","2025-04-14 14:01:36","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","w3wjcj5pkb5crhz","41","[""White""]","No","Female","2063304.499999999","null","","<p></p>","null","rating","dct","repulsion_1","2","laptops","null","null","null","null","null","null","1","","","","","","","","","",""
