"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name"
"true","false","[]","[]","[]","img preload","preload","0","1210","0.0-0.0","34","1","2025-04-11 14:07:47","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","WebKit","Chrome","99.0.4844.51","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7aufo3ddxkncbvj","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","10379","0.0-1.0","34","1","2025-04-11 14:07:47","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","WebKit","Chrome","99.0.4844.51","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7aufo3ddxkncbvj","8151","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","58833","0.0-2.0","34","1","2025-04-11 14:07:47","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","WebKit","Chrome","99.0.4844.51","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7aufo3ddxkncbvj","48454","[{""page_index"":0,""viewing_time"":1847},{""page_index"":1,""viewing_time"":4055},{""page_index"":2,""viewing_time"":3536},{""page_index"":3,""viewing_time"":4658},{""page_index"":4,""viewing_time"":5210},{""page_index"":5,""viewing_time"":7203},{""page_index"":6,""viewing_time"":3866},{""page_index"":7,""viewing_time"":10212},{""page_index"":8,""viewing_time"":3932},{""page_index"":9,""viewing_time"":3934}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","59137","0.0-3.0-0.0","34","1","2025-04-11 14:07:47","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","WebKit","Chrome","99.0.4844.51","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7aufo3ddxkncbvj","null","","<p></p>","null","rating","tdc","repulsion_2","2","washing machines","null","null","null","null","null","null","2","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","102552","0.0-3.0-1.0","34","1","2025-04-11 14:07:47","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","WebKit","Chrome","99.0.4844.51","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7aufo3ddxkncbvj","43406","","","{""price_1"":""700"",""price_2"":""600"",""price_3"":""450""}","rating","tdc","repulsion_2","2","washing machines","null","null","null","null","null","null","2","30","40","20","100","90","100","Average lifespan","Energy savings"
