"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","6851","0.0-0.0","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","12564","0.0-1.0","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","4694","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","243462","0.0-2.0","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","230896","[{""page_index"":0,""viewing_time"":3487},{""page_index"":1,""viewing_time"":7379},{""page_index"":2,""viewing_time"":7476},{""page_index"":3,""viewing_time"":6037},{""page_index"":4,""viewing_time"":6407},{""page_index"":5,""viewing_time"":88309},{""page_index"":6,""viewing_time"":52293},{""page_index"":7,""viewing_time"":41851},{""page_index"":8,""viewing_time"":10866},{""page_index"":9,""viewing_time"":6790}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","243777","0.0-3.0-0.0","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","null","","<p></p>","null","rating","wwb","catch","null","washing machines","80","55","5","20","50","45","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","352812","0.0-3.0-1.0","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","109029","","","{""price_1"":""450"",""price_2"":""600"",""price_3"":""800""}","rating","wwb","catch","null","washing machines","80","55","5","20","50","45","1","null","null","null","null","null","null","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","353125","0.0-3.0-0.1","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","null","","<p></p>","null","rating","tdc","attraction_1","2","televisions","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","403150","0.0-3.0-1.1","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","50020","","","{""price_1"":""900"",""price_2"":""800"",""price_3"":""900""}","rating","tdc","attraction_1","2","televisions","null","null","null","null","null","null","1","50","60","45","60","50","60","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","403452","0.0-3.0-0.2","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","null","","<p></p>","null","rating","tdc","repulsion_1","1","washing machines","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","454122","0.0-3.0-1.2","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","50667","","","{""price_1"":""750"",""price_2"":""700"",""price_3"":""800""}","rating","tdc","repulsion_1","1","washing machines","null","null","null","null","null","null","2","100","90","100","30","40","25","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","454425","0.0-3.0-0.3","161","1","2025-04-14 14:20:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","yrb1mld0jaecl1h","58","[""White""]","No","Male","2244024.400000006","null","","<p></p>","null","rating","wbw","catch","null","laptops","65","60","40","30","50","5","2","","","","","","","","","",""
