"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","3266","0.0-0.0","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","7399","0.0-1.0","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","3094","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","48572","0.0-2.0","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","41169","[{""page_index"":0,""viewing_time"":1057},{""page_index"":1,""viewing_time"":2185},{""page_index"":2,""viewing_time"":2351},{""page_index"":3,""viewing_time"":3824},{""page_index"":4,""viewing_time"":5625},{""page_index"":5,""viewing_time"":5743},{""page_index"":6,""viewing_time"":5583},{""page_index"":7,""viewing_time"":5721},{""page_index"":8,""viewing_time"":6001},{""page_index"":9,""viewing_time"":3079}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","48882","0.0-3.0-0.0","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","ctd","attraction_1","1","televisions","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","68061","0.0-3.0-1.0","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","19177","","","{""price_1"":""200"",""price_2"":""150"",""price_3"":""140""}","rating","ctd","attraction_1","1","televisions","null","null","null","null","null","null","2","60","50","60","50","60","45","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","68374","0.0-3.0-0.1","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","dtc","attraction_1","2","laptops","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","78228","0.0-3.0-1.1","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","9850","","","{""price_1"":""200"",""price_2"":""400"",""price_3"":""450""}","rating","dtc","attraction_1","2","laptops","null","null","null","null","null","null","1","50","60","45","60","50","60","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","78532","0.0-3.0-0.2","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","tdc","repulsion_1","2","washing machines","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","93588","0.0-3.0-1.2","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","15053","","","{""price_1"":""400"",""price_2"":""300"",""price_3"":""350""}","rating","tdc","repulsion_1","2","washing machines","null","null","null","null","null","null","1","30","40","25","100","90","100","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","93903","0.0-3.0-0.3","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","dtc","repulsion_2","1","washing machines","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","10","104204","0.0-3.0-1.3","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","10298","","","{""price_1"":""200"",""price_2"":""300"",""price_3"":""350""}","rating","dtc","repulsion_2","1","washing machines","null","null","null","null","null","null","2","100","90","100","30","40","20","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","11","104516","0.0-3.0-0.4","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","dtc","repulsion_1","1","laptops","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","12","131214","0.0-3.0-1.4","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","26694","","","{""price_1"":""400"",""price_2"":""200"",""price_3"":""250""}","rating","dtc","repulsion_1","1","laptops","null","null","null","null","null","null","2","100","90","100","30","40","25","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","13","131521","0.0-3.0-0.5","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","dct","attraction_2","1","laptops","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","14","155012","0.0-3.0-1.5","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","23487","","","{""price_1"":""500"",""price_2"":""400"",""price_3"":""300""}","rating","dct","attraction_2","1","laptops","null","null","null","null","null","null","1","60","50","60","50","60","40","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","15","155315","0.0-3.0-0.6","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","cdt","attraction_1","1","washing machines","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","16","164812","0.0-3.0-1.6","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","9495","","","{""price_1"":""400"",""price_2"":""300"",""price_3"":""200""}","rating","cdt","attraction_1","1","washing machines","null","null","null","null","null","null","2","60","50","60","50","60","45","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","17","165127","0.0-3.0-0.7","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","wbw","catch","null","microwave ovens","60","75","10","50","25","10","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","18","182052","0.0-3.0-1.7","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","16921","","","{""price_1"":""300"",""price_2"":""500"",""price_3"":""400""}","rating","wbw","catch","null","microwave ovens","60","75","10","50","25","10","1","null","null","null","null","null","null","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","19","182368","0.0-3.0-0.8","141","1","2025-04-14 14:12:52","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0","","Firefox","133.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.5","p2y8xxmdqbmvcrl","35","[""Black or African-American""]","No","Male","838493","null","","<p></p>","null","rating","wbw","catch","null","laptops","50","55","25","45","50","50","1","","","","","","","","","",""
