lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.250985
# Diagonal elements of inverse mass matrix:
# 0.00138585, 0.00135802, 0.0013068, 0.00153942, 0.00139652, 0.00143952, 0.00126012, 0.0012496, 0.00120335, 0.00139033, 0.0012984, 0.00135977, 0.00137095, 0.00135737, 0.0013284, 0.00151611, 0.00149453, 0.00143314, 0.00150831, 0.00143628, 0.00153679, 0.00127051, 0.00129925, 0.00130553, 0.000406721, 0.000374388, 0.000594077, 0.000423999, 0.000412357, 0.000619587, 0.000109386
1825.65,0.918067,0.250985,4,15,0,-1809.2,0.428032,-0.84523,-0.075275,0.510999,0.428675,-0.831635,-0.0720613,0.516074,0.165047,-0.963585,-0.260072,0.332154,0.366949,-0.736615,0.0853324,0.630406,0.418182,-0.753981,0.0699352,0.610312,0.1725,-0.88776,-0.147961,0.410001,1,0.875079,0.881,0,0.48398,0.135464,0,0,0.453309,1,0.772887,0.873875,0,0.634544,0.0405273,0,0,0.484459,0.79956,0.79956,0.79956,0.79956,0.79956,0.699678,0.704412,0,0.386971,0.108311,0,0,0.362448,0.79956,0.61797,0.698716,0,0.507356,0.032404,0,0,0.387354,1,0.875079,0.881,0.875079,1,0.836506,0.881,0.836506,1,1,0.772887,0.873875,0.772887,1,0.701123,0.873875,0.701123,1
1819.52,0.763232,0.250985,4,15,0,-1809.1,0.43533,-0.916412,-0.107725,0.486875,0.411115,-0.89549,-0.0783529,0.497696,0.182525,-1.03701,-0.308242,0.308591,0.350567,-0.842052,0.0704233,0.634824,0.417486,-0.871024,0.0806199,0.647478,0.143948,-0.988051,-0.16898,0.411961,1,0.874643,0.871891,0,0.484767,0.139167,0,0,0.469509,1,0.77861,0.875117,0,0.627508,0.0415171,0,0,0.482127,0.806285,0.806285,0.806285,0.806285,0.806285,0.705212,0.702993,0,0.390861,0.112208,0,0,0.378558,0.806285,0.627782,0.705594,0,0.505951,0.0334746,0,0,0.388732,1,0.874643,0.871891,0.874643,1,0.830057,0.871891,0.830057,1,1,0.77861,0.875117,0.77861,1,0.707427,0.875117,0.707427,1
1827.25,0.733815,0.250985,4,15,0,-1807.09,0.452004,-0.830483,-0.116414,0.504302,0.422144,-0.803957,-0.0928785,0.517934,0.186234,-0.958281,-0.296788,0.319422,0.42476,-0.749052,0.117442,0.612792,0.460479,-0.765359,0.0994858,0.613512,0.212118,-0.905765,-0.114996,0.406896,1,0.865859,0.870691,0,0.500288,0.138804,0,0,0.471838,1,0.772701,0.869478,0,0.634771,0.0315594,0,0,0.492962,0.784015,0.784015,0.784015,0.784015,0.784015,0.678847,0.682635,0,0.392233,0.108824,0,0,0.369928,0.784015,0.605809,0.681684,0,0.49767,0.024743,0,0,0.386489,1,0.865859,0.870691,0.865859,1,0.823337,0.870691,0.823337,1,1,0.772701,0.869478,0.772701,1,0.69188,0.869478,0.69188,1
1822.86,0.719855,0.250985,5,31,0,-1813.79,0.435497,-0.83193,0.0304621,0.522851,0.407465,-0.809372,0.0350253,0.539743,0.169475,-0.959789,-0.204921,0.321218,0.354823,-0.762154,-0.0226235,0.591094,0.423973,-0.784274,0.00695675,0.599514,0.170824,-0.885763,-0.220033,0.392401,1,0.863179,0.867404,0,0.504898,0.151223,0,0,0.474069,1,0.775146,0.870962,0,0.631782,0.0324869,0,0,0.490275,0.795539,0.795539,0.795539,0.795539,0.795539,0.686692,0.690054,0,0.401666,0.120304,0,0,0.37714,0.795539,0.616659,0.692884,0,0.502607,0.0258446,0,0,0.390033,1,0.863179,0.867404,0.863179,1,0.825077,0.867404,0.825077,1,1,0.775146,0.870962,0.775146,1,0.695647,0.870962,0.695647,1
1822.59,0.824097,0.250985,5,31,0,-1807.66,0.461161,-0.827216,-0.102121,0.498553,0.40795,-0.808686,-0.104797,0.529515,0.193883,-0.950891,-0.317762,0.30941,0.428542,-0.759017,0.119385,0.637251,0.464838,-0.753658,0.10823,0.634104,0.202462,-0.907638,-0.11521,0.393071,1,0.861664,0.868267,0,0.507479,0.155261,0,0,0.471175,1,0.773241,0.874591,0,0.634112,0.0405734,0,0,0.48316,0.786844,0.786844,0.786844,0.786844,0.786844,0.677995,0.683191,0,0.399307,0.122166,0,0,0.370742,0.786844,0.60842,0.688167,0,0.498947,0.031925,0,0,0.380172,1,0.861664,0.868267,0.861664,1,0.826946,0.868267,0.826946,1,1,0.773241,0.874591,0.773241,1,0.701998,0.874591,0.701998,1
1821.78,0.794233,0.250985,5,31,0,-1807.16,0.41257,-0.796558,-0.0228311,0.504072,0.422983,-0.794252,-0.0199093,0.499498,0.163313,-0.959396,-0.218902,0.298702,0.417972,-0.77065,0.0568707,0.617363,0.479943,-0.766526,0.05048,0.637853,0.245984,-0.922737,-0.173984,0.405817,1,0.874896,0.872777,0,0.484311,0.12382,0,0,0.472153,1,0.776668,0.865674,0,0.629911,0.0434639,0,0,0.498719,0.787675,0.787675,0.787675,0.787675,0.787675,0.689134,0.687465,0,0.38148,0.0975299,0,0,0.371903,0.787675,0.611762,0.68187,0,0.496165,0.0342354,0,0,0.392828,1,0.874896,0.872777,0.874896,1,0.823556,0.872777,0.823556,1,1,0.776668,0.865674,0.776668,1,0.699719,0.865674,0.699719,1
1820.96,0.839454,0.250985,4,31,0,-1796.26,0.442383,-0.786946,-0.0188371,0.45782,0.431168,-0.804799,0.00482985,0.477984,0.179739,-0.943393,-0.236731,0.288624,0.395383,-0.748686,0.0424012,0.637104,0.457545,-0.756181,0.0410428,0.634482,0.185832,-0.920673,-0.184582,0.453351,1,0.87124,0.872509,0,0.490857,0.128426,0,0,0.471418,1,0.770285,0.86674,0,0.637699,0.0411694,0,0,0.497058,0.783828,0.783828,0.783828,0.783828,0.783828,0.682903,0.683897,0,0.384747,0.100664,0,0,0.369511,0.783828,0.603771,0.679375,0,0.499847,0.0322697,0,0,0.389608,1,0.87124,0.872509,0.87124,1,0.823204,0.872509,0.823204,1,1,0.770285,0.86674,0.770285,1,0.693891,0.86674,0.693891,1
1819.64,0.989606,0.250985,4,31,0,-1804,0.415969,-0.807371,-0.0364441,0.510478,0.377232,-0.772761,-0.0591782,0.555751,0.160906,-0.958571,-0.224074,0.316877,0.313302,-0.782369,0.0610952,0.626422,0.360976,-0.805352,0.0658905,0.651863,0.129477,-0.910866,-0.136145,0.396785,1,0.864872,0.867245,0,0.501992,0.121549,0,0,0.482817,1,0.773658,0.863423,0,0.633604,0.0513508,0,0,0.501861,0.78952,0.78952,0.78952,0.78952,0.78952,0.682834,0.684707,0,0.396333,0.0959657,0,0,0.381193,0.78952,0.610818,0.681689,0,0.500243,0.0405425,0,0,0.396229,1,0.864872,0.867245,0.864872,1,0.811073,0.867245,0.811073,1,1,0.773658,0.863423,0.773658,1,0.700529,0.863423,0.700529,1
1815.87,0.869382,0.250985,3,7,0,-1802.01,0.410408,-0.815699,-0.0338676,0.512586,0.380536,-0.77038,-0.0455669,0.562784,0.168197,-0.952184,-0.224466,0.316126,0.301206,-0.786304,0.0808906,0.624056,0.346747,-0.806539,0.0491883,0.634357,0.12069,-0.908271,-0.139622,0.404732,1,0.862928,0.86677,0,0.505328,0.118411,0,0,0.484447,1,0.775862,0.861136,0,0.630902,0.0554628,0,0,0.50534,0.792167,0.792167,0.792167,0.792167,0.792167,0.683583,0.686626,0,0.400304,0.0938014,0,0,0.383762,0.792167,0.614612,0.682163,0,0.49978,0.0439358,0,0,0.400313,1,0.862928,0.86677,0.862928,1,0.807796,0.86677,0.807796,1,1,0.775862,0.861136,0.775862,1,0.703115,0.861136,0.703115,1
1810.5,0.81809,0.250985,5,31,0,-1795.87,0.433079,-0.847745,0.00370486,0.533488,0.442409,-0.821071,0.0174147,0.501833,0.148074,-0.987613,-0.194543,0.324041,0.447482,-0.746134,0.0974941,0.621356,0.471797,-0.802306,0.0904888,0.622386,0.241087,-0.913053,-0.103556,0.411616,1,0.869297,0.858925,0,0.49429,0.141267,0,0,0.492231,1,0.758362,0.852909,0,0.651834,0.063984,0,0,0.518123,0.786095,0.786095,0.786095,0.786095,0.786095,0.68335,0.675197,0,0.388559,0.111049,0,0,0.386941,0.786095,0.596145,0.670468,0,0.512404,0.0502976,0,0,0.407294,1,0.869297,0.858925,0.869297,1,0.816488,0.858925,0.816488,1,1,0.758362,0.852909,0.758362,1,0.688521,0.852909,0.688521,1
1812.99,0.971784,0.250985,5,31,0,-1793.03,0.444174,-0.836692,0.0172775,0.529096,0.425094,-0.812464,0.0279125,0.516774,0.137315,-1.00238,-0.181046,0.321517,0.433798,-0.750989,0.0888359,0.615538,0.472451,-0.781452,0.08508,0.623144,0.23386,-0.920493,-0.103702,0.417697,1,0.870198,0.860104,0,0.492702,0.145305,0,0,0.488987,1,0.759427,0.854458,0,0.650593,0.0658924,0,0,0.515324,0.782136,0.782136,0.782136,0.782136,0.782136,0.680613,0.672718,0,0.38536,0.113648,0,0,0.382454,0.782136,0.593975,0.668303,0,0.508852,0.0515368,0,0,0.403054,1,0.870198,0.860104,0.870198,1,0.820053,0.860104,0.820053,1,1,0.759427,0.854458,0.759427,1,0.691768,0.854458,0.691768,1
1817.73,1,0.250985,5,31,0,-1800.66,0.43819,-0.784964,-0.101114,0.55398,0.374937,-0.801967,-0.0981308,0.552065,0.177502,-0.909278,-0.291182,0.337287,0.370542,-0.741766,-0.0101315,0.58736,0.427732,-0.773306,0.0116825,0.602661,0.166732,-0.890266,-0.206823,0.38759,1,0.873654,0.878444,0,0.486547,0.134739,0,0,0.458455,1,0.777673,0.879599,0,0.628669,0.0258978,0,0,0.475011,0.808372,0.808372,0.808372,0.808372,0.808372,0.706238,0.71011,0,0.393311,0.108919,0,0,0.370602,0.808372,0.628649,0.711043,0,0.508198,0.0209351,0,0,0.383986,1,0.873654,0.878444,0.873654,1,0.833014,0.878444,0.833014,1,1,0.777673,0.879599,0.777673,1,0.700321,0.879599,0.700321,1
1817.77,0.988396,0.250985,4,31,0,-1804.3,0.481684,-0.816803,-0.00510283,0.518783,0.483183,-0.77697,0.00551021,0.561353,0.24921,-0.933645,-0.196509,0.357757,0.405893,-0.745122,0.141891,0.581927,0.454277,-0.775615,0.131067,0.568215,0.199409,-0.882707,-0.0933193,0.339823,1,0.863935,0.856679,0,0.503604,0.152676,0,0,0.492739,1,0.757153,0.855777,0,0.653238,0.0488534,0,0,0.515033,0.776325,0.776325,0.776325,0.776325,0.776325,0.670694,0.665061,0,0.39096,0.118526,0,0,0.382525,0.776325,0.587797,0.664361,0,0.507125,0.0379261,0,0,0.399833,1,0.863935,0.856679,0.863935,1,0.817003,0.856679,0.817003,1,1,0.757153,0.855777,0.757153,1,0.679867,0.855777,0.679867,1
1823.3,0.944858,0.250985,5,31,0,-1803.17,0.367821,-0.807376,0.0133968,0.466375,0.376704,-0.792383,0.00569438,0.488689,0.128738,-0.938532,-0.182594,0.273693,0.377832,-0.7518,0.0213576,0.609488,0.439612,-0.773938,0.0258367,0.603859,0.168893,-0.906754,-0.194124,0.383072,1,0.875985,0.87444,0,0.482339,0.138083,0,0,0.465067,1,0.783424,0.877056,0,0.621488,0.0257092,0,0,0.4797,0.812521,0.812521,0.812521,0.812521,0.812521,0.711756,0.710501,0,0.39191,0.112195,0,0,0.377877,0.812521,0.636548,0.712626,0,0.504972,0.0208893,0,0,0.389766,1,0.875985,0.87444,0.875985,1,0.832599,0.87444,0.832599,1,1,0.783424,0.877056,0.783424,1,0.703084,0.877056,0.703084,1
1824.71,0.765699,0.250985,5,31,0,-1811.07,0.464659,-0.821512,-0.115665,0.529553,0.412515,-0.815548,-0.116572,0.545493,0.18698,-0.96318,-0.289649,0.344846,0.437456,-0.760373,0.0601356,0.586913,0.475192,-0.761917,0.0820567,0.606937,0.235792,-0.895602,-0.13706,0.375659,1,0.869971,0.870154,0,0.493103,0.134815,0,0,0.473979,1,0.77156,0.867632,0,0.636157,0.0497774,0,0,0.494709,0.796438,0.796438,0.796438,0.796438,0.796438,0.692878,0.693024,0,0.392726,0.107372,0,0,0.377495,0.796438,0.6145,0.691015,0,0.50666,0.0396446,0,0,0.394005,1,0.869971,0.870154,0.869971,1,0.823487,0.870154,0.823487,1,1,0.77156,0.867632,0.77156,1,0.701096,0.867632,0.701096,1
1821.11,0.832622,0.250985,5,31,0,-1811.92,0.410219,-0.843696,-0.107036,0.5244,0.413425,-0.801391,-0.0980874,0.541606,0.171097,-0.953549,-0.313444,0.341919,0.412803,-0.742542,0.0820095,0.619681,0.498824,-0.801858,0.0388845,0.607691,0.201681,-0.890344,-0.148561,0.390188,1,0.872278,0.861946,0,0.489011,0.145644,0,0,0.485631,1,0.778948,0.870907,0,0.627088,0.0579516,0,0,0.488019,0.793179,0.793179,0.793179,0.793179,0.793179,0.691872,0.683677,0,0.387873,0.115522,0,0,0.385192,0.793179,0.617845,0.690785,0,0.497393,0.045966,0,0,0.387086,1,0.872278,0.861946,0.872278,1,0.823078,0.861946,0.823078,1,1,0.778948,0.870907,0.778948,1,0.714732,0.870907,0.714732,1
